0020,0,2,2
0021,1,1,3
0022,3,0,3
0023,7,0,7
0024,5,0,5
0025,7,0,7
0026,6,0,6
0027,1,0,1
0028,3,1,4
0029,3,0,4
002a,7,0,7
002b,5,0,5
002c,2,0,3
002d,5,0,5
002e,1,1,3
002f,3,1,5
0030,5,0,5
0031,2,0,3
0032,5,0,5
0033,5,0,5
0034,6,0,6
0035,5,0,5
0036,5,0,5
0037,5,0,5
0038,5,0,5
0039,5,0,5
003a,1,1,3
003b,2,0,3
003c,3,1,5
003d,5,0,5
003e,3,1,5
003f,4,0,4
0040,7,0,7
0041,5,0,5
0042,5,0,5
0043,5,0,5
0044,5,0,5
0045,4,0,4
0046,4,0,4
0047,5,0,5
0048,5,0,5
0049,1,0,1
004a,4,0,4
004b,5,0,5
004c,4,0,4
004d,5,0,5
004e,5,0,5
004f,5,0,5
0050,5,0,5
0051,5,0,5
0052,5,0,5
0053,4,0,4
0054,5,0,5
0055,5,0,5
0056,5,0,5
0057,5,0,5
0058,5,0,5
0059,5,0,5
005a,4,0,4
005b,3,1,4
005c,3,1,5
005d,3,0,4
005e,3,0,3
005f,5,0,5
0060,2,0,2
0061,5,0,5
0062,5,0,5
0063,5,0,5
0064,5,0,5
0065,5,0,5
0066,4,0,4
0067,5,0,5
0068,5,0,5
0069,1,0,1
006a,3,0,3
006b,4,0,4
006c,2,0,2
006d,7,0,7
006e,5,0,5
006f,5,0,5
0070,5,0,5
0071,5,0,5
0072,4,0,4
0073,4,0,4
0074,4,0,4
0075,5,0,5
0076,5,0,5
0077,5,0,5
0078,5,0,5
0079,5,0,5
007a,5,0,5
007b,4,1,5
007c,1,1,3
007d,4,0,5
007e,5,1,7
00a0,0,7,7
00a1,1,1,3
00a2,6,0,6
00a3,5,0,5
00a4,7,0,7
00a5,5,0,5
00a6,1,1,3
00a7,4,0,4
00a8,3,0,3
00a9,9,0,9
00aa,3,0,3
00ab,6,1,7
00ac,7,0,7
00ad,5,0,5
00ae,9,0,9
00af,7,0,7
00b0,3,0,3
00b1,5,0,5
00b2,3,0,3
00b3,3,0,3
00b4,3,0,3
00b5,5,0,5
00b6,5,0,5
00b7,3,0,3
00b8,2,1,4
00b9,2,0,3
00ba,3,0,3
00bb,6,0,7
00bc,9,0,9
00bd,9,0,9
00be,9,0,9
00bf,4,0,5
00c0,5,0,5
00c1,5,0,5
00c2,5,0,5
00c3,5,0,5
00c4,5,0,5
00c5,5,0,5
00c6,7,0,7
00c7,4,0,5
00c8,4,0,4
00c9,4,0,4
00ca,4,0,4
00cb,4,0,4
00cc,2,1,5
00cd,2,2,5
00ce,3,1,5
00cf,3,1,5
00d0,6,0,6
00d1,5,0,5
00d2,5,0,5
00d3,5,0,5
00d4,5,0,5
00d5,5,0,5
00d6,5,0,5
00d7,5,0,5
00d8,7,0,7
00d9,5,0,5
00da,5,0,5
00db,5,0,5
00dc,5,0,5
00dd,5,0,5
00de,5,0,5
00df,5,0,5
00e0,5,0,5
00e1,5,0,5
00e2,5,0,5
00e3,5,0,5
00e4,5,0,5
00e5,5,0,5
00e6,7,0,7
00e7,4,0,5
00e8,5,0,5
00e9,5,0,5
00ea,5,0,5
00eb,5,0,5
00ec,2,0,3
00ed,2,1,3
00ee,3,0,3
00ef,3,0,3
00f0,5,0,5
00f1,5,0,5
00f2,5,0,5
00f3,5,0,5
00f4,5,0,5
00f5,5,0,5
00f6,5,0,5
00f7,5,0,5
00f8,7,0,7
00f9,5,0,5
00fa,5,0,5
00fb,5,0,5
00fc,5,0,5
00fd,5,0,5
00fe,5,0,5
00ff,5,0,5
0152,7,0,7
0153,7,0,7
0160,4,0,4
0161,4,0,4
0178,5,0,5
017d,4,0,4
017e,5,0,5
0192,5,0,5
02c6,3,0,3
02dc,4,0,4
0391,9,0,9
0392,6,1,9
0393,5,2,9
0394,9,0,9
0395,6,1,9
0396,7,1,9
0397,7,1,9
0398,7,1,9
0399,1,4,9
039a,7,1,9
039b,9,0,9
039c,9,0,9
039d,7,1,9
039e,7,1,9
039f,7,1,9
03a0,6,1,9
03a1,6,1,9
03a3,7,1,9
03a4,7,1,9
03a5,9,0,9
03a6,9,0,9
03a7,7,1,9
03a8,7,1,9
03a9,8,0,9
03b1,7,1,9
03b2,5,2,9
03b3,7,1,9
03b4,5,2,9
03b5,5,2,9
03b6,5,2,9
03b7,6,1,9
03b8,6,1,9
03b9,3,3,9
03ba,5,2,9
03bb,8,0,9
03bc,6,1,9
03bd,7,1,9
03be,6,1,9
03bf,6,1,9
03c0,7,1,9
03c1,6,1,9
03c3,7,1,9
03c4,6,1,9
03c5,6,1,9
03c6,7,1,9
03c7,7,1,9
03c8,8,0,9
03c9,9,0,9
0401,6,1,9
0410,9,0,9
0411,6,1,9
0412,6,1,9
0413,5,2,9
0414,8,0,9
0415,6,1,9
0416,9,0,9
0417,6,1,9
0418,7,1,9
0419,7,1,9
041a,7,1,9
041b,6,1,9
041c,9,0,9
041d,7,1,9
041e,7,1,9
041f,6,1,9
0420,6,1,9
0421,7,1,9
0422,7,1,9
0423,7,1,9
0424,9,0,9
0425,7,1,9
0426,7,1,9
0427,6,1,9
0428,7,1,9
0429,8,0,9
042a,8,0,9
042b,8,0,9
042c,6,1,9
042d,7,1,9
042e,9,0,9
042f,6,1,9
0430,6,1,9
0431,6,1,9
0432,5,2,9
0433,5,2,9
0434,6,1,9
0435,6,1,9
0436,9,0,9
0437,5,2,9
0438,6,1,9
0439,6,1,9
043a,5,2,9
043b,6,1,9
043c,7,1,9
043d,6,1,9
043e,6,1,9
043f,6,1,9
0440,6,1,9
0441,6,1,9
0442,7,1,9
0443,7,1,9
0444,9,0,9
0445,7,1,9
0446,7,1,9
0447,6,1,9
0448,7,1,9
0449,8,0,9
044a,7,1,9
044b,7,1,9
044c,5,2,9
044d,6,1,9
044e,8,0,9
044f,5,2,9
0451,6,1,9
2010,4,2,9
2013,7,0,7
2014,9,0,9
2015,9,0,9
2018,2,1,3
2019,2,0,3
201a,2,0,3
201c,4,1,5
201d,4,0,5
201e,4,0,5
2020,3,0,3
2021,3,0,3
2022,4,0,4
2025,6,1,9
2026,5,0,6
2030,8,0,8
2032,3,0,9
2033,5,0,9
2039,3,1,4
203a,3,1,4
203b,9,0,9
20ac,6,0,6
2103,9,0,9
2116,9,0,9
2121,9,0,9
2122,9,0,9
212b,7,1,9
2160,1,4,9
2161,3,3,9
2162,5,2,9
2163,7,1,9
2164,5,2,9
2165,7,1,9
2166,9,0,9
2167,9,0,9
2168,7,1,9
2169,5,2,9
2190,9,0,9
2191,5,2,9
2192,9,0,9
2193,5,2,9
21d2,9,0,9
21d4,9,0,9
2200,9,0,9
2202,6,1,9
2203,8,0,9
2207,9,0,9
2208,8,0,9
220b,8,0,9
2211,7,1,9
221a,9,0,9
221d,9,0,9
221e,9,0,9
221f,7,1,9
2220,9,0,9
2225,3,3,9
2227,9,0,9
2228,9,0,9
2229,7,1,9
222a,7,1,9
222b,5,2,9
222c,7,1,9
222e,3,3,9
2234,8,0,9
2235,8,0,9
223d,9,0,9
2252,9,0,9
2260,7,1,9
2261,9,0,9
2266,8,0,9
2267,8,0,9
226a,8,0,9
226b,8,0,9
2282,8,0,9
2283,8,0,9
2286,8,0,9
2287,8,0,9
22a5,9,0,9
22bf,8,0,9
2312,9,0,9
2460,9,0,9
2461,9,0,9
2462,9,0,9
2463,9,0,9
2464,9,0,9
2465,9,0,9
2466,9,0,9
2467,9,0,9
2468,9,0,9
2469,9,0,9
246a,9,0,9
246b,9,0,9
246c,9,0,9
246d,9,0,9
246e,9,0,9
246f,9,0,9
2470,9,0,9
2471,9,0,9
2472,9,0,9
2473,9,0,9
2500,9,0,9
2501,9,0,9
2502,1,4,9
2503,2,3,9
250c,5,4,9
250f,6,3,9
2510,5,0,9
2513,5,0,9
2514,5,4,9
2517,6,3,9
2518,5,0,9
251b,5,0,9
251c,5,4,9
251d,5,4,9
2520,6,3,9
2523,6,3,9
2524,5,0,9
2525,5,0,9
2528,5,0,9
252b,5,0,9
252c,9,0,9
252f,9,0,9
2530,9,0,9
2533,9,0,9
2534,9,0,9
2537,9,0,9
2538,9,0,9
253b,9,0,9
253c,9,0,9
253f,9,0,9
2542,9,0,9
254b,9,0,9
25a0,9,0,9
25a1,9,0,9
25b2,9,0,9
25b3,9,0,9
25bc,9,0,9
25bd,9,0,9
25c6,9,0,9
25c7,9,0,9
25cb,9,0,9
25ce,9,0,9
25cf,9,0,9
25ef,9,0,9
